round,cum_reward_lincb,cum_reward_random,cum_reward_oracle
1,0.024704918645655424,0.49871131977497785,0.3530232884535519
2,0.11523960220765046,0.5913595813768459,0.7814993863634407
3,0.13322364766572417,0.49834395195421805,1.2415183934200849
4,0.2598896333294969,0.5990122970103451,1.6434195232911688
5,0.7636946420043247,0.6442098806084282,1.9767177236273727
6,1.060858579845129,1.1288822386683082,2.3395408555613075
7,-22.733784809195157,-22.914941141139963,-21.454357932812197
8,-22.62479734226734,-22.567256680847297,-21.01359038348822
9,-22.285282085344893,-22.1571142439161,-20.592705496761237
10,-21.851285137422565,-22.011651237145646,-20.167445419824826
11,-21.863913544992222,-22.073611824815316,-20.0898634658033
12,-21.797750354634662,-22.00154816036201,-20.1612280019337
13,-21.777501579196137,-21.95606125161402,-20.13241101211725
14,-21.649902837454768,-21.818668189871506,-19.723530419455756
15,-21.35200259204806,-21.74090266278078,-19.313487289075116
16,-21.168099288392966,-21.619607397153732,-18.865190114883184
17,-20.79372701137591,-21.212619679880884,-18.495964437410723
18,-20.750532620810574,-21.164304839474262,-17.925147269865192
19,-20.7415349199874,-20.792991037927415,-17.567903105091624
20,-20.673320044221505,-20.69781218984988,-17.048581835502908
21,-20.648712992524672,-20.774184821141603,-17.124856520009285
22,-20.574559512357805,-20.80508754367834,-17.135956885211954
23,-20.202025001717487,-20.627526946873964,-16.717660875405652
24,-20.15825126409717,-20.53185550932641,-16.614399521278308
25,-20.207552133172157,-20.592301873763706,-16.25152896468984
26,-20.19508640609106,-20.543117315664247,-16.258453262336374
27,-19.76912909376643,-20.27777185949577,-15.876108903876386
28,-19.599446590081925,-20.246346168099038,-15.358703552740907
29,-19.589070783037656,-20.306010524747823,-14.94894416691319
30,-19.357789654308178,-20.221694300150226,-14.461426869326369
31,-18.88049208274887,-19.76340957238066,-13.959659510938097
32,-18.482026308878712,-19.348579729044083,-13.60232714279604
33,-42.567168432788804,-43.34043217146194,-37.45253867590241
34,-42.60937527846469,-43.15230168462289,-37.34666634653829
35,-42.70421263947384,-43.12234701833143,-37.304059073970706
36,-42.75752871338584,-43.15743769045781,-37.351986055272185
37,-66.72743917044791,-67.09656433542837,-61.137081252690805
38,-66.74373091550353,-67.13218730680516,-60.7629455138086
39,-66.84992570171903,-67.15804648646063,-60.802428703281606
40,-66.91681794290945,-67.14095868767177,-60.70819158989224
41,-66.71024090636531,-67.21547764478144,-60.5941413721777
42,-66.43715386775573,-66.9398231205664,-60.22075634437483
43,-66.44012013783103,-66.71329180346885,-59.82372558181041
44,-66.43010020352435,-66.54662967894376,-59.35665116315566
45,-66.3340123388805,-66.43840390302408,-58.919488975603294
46,-66.12333871348127,-66.31790328237796,-58.535139945915056
47,-65.75057674180438,-65.89149554050972,-58.172701148237635
48,-65.78909058232661,-65.85547462566511,-58.17293325282953
49,-65.78917238065881,-65.87677624259334,-58.16676160799027
50,-65.61538531014642,-65.6909588222301,-57.683729320617246
51,-65.58119803766664,-65.22724659280624,-57.21058314660335
52,-65.53730677924263,-65.14671766964507,-57.146454905645335
53,-65.49300360123031,-65.15357156069716,-57.12772679322762
54,-65.39493842763213,-65.14256784425697,-57.101731312516904
55,-65.39567434056387,-65.10274757277216,-57.177460784611924
56,-65.3246697481317,-65.11526777012907,-56.680588413063106
57,-65.37973234337406,-65.0908841063829,-56.68329379649819
58,-65.20118006502977,-65.04747921773142,-56.259394538193995
59,-65.09758949853307,-64.6933537648134,-55.7399688392451
60,-65.12102150280248,-64.41340969048088,-55.37432584411627
61,-65.1819459848668,-64.47099737031577,-55.348167823153176
62,-64.99091906891879,-64.29763449476653,-54.98049209396028
63,-65.01744412629931,-64.32642540679876,-54.94162714792434
64,-65.05646129400219,-64.28342673075124,-54.9905953687856
65,-64.7724138061641,-63.83367889064837,-54.60981191349047
66,-64.60713097914079,-63.872233217673596,-54.4608135283445
67,-64.63945962335292,-63.92631061785431,-54.49551251277194
68,-64.37030298211519,-63.80870129244454,-54.202695366181125
69,-64.3664345667328,-63.85133693108238,-54.09804293322548
70,-63.92422986811402,-63.75302574202611,-53.79452339596417
71,-63.59829607877022,-63.592460522921364,-53.39644493406369
72,-63.59149923341479,-63.624881540266344,-53.30061154807951
73,-63.48657698918056,-63.483264015128476,-52.89348008359066
74,-63.07420420370396,-63.05815426932728,-52.48441099401303
75,-63.041322626464606,-62.92720816088609,-52.39735252678791
76,-62.77215031648803,-62.5343470288193,-51.93990207801502
