country,year,technological_infrastructure,advanced_autonomous_technologies,interoperability_communication,onshore_operation_centers,cybersecurity_resilience,regulation_procedures,score,SPRI_raw,SPRI_0_100
Singapore,2018,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Singapore,2019,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Singapore,2020,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Singapore,2021,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Singapore,2022,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Singapore,2023,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Singapore,2024,1,0,1,0,2,2,5.699999999999999,5.699999999999999,98.2758620689655
Malaysia,2018,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Malaysia,2019,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Malaysia,2020,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Malaysia,2021,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Malaysia,2022,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Malaysia,2023,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Malaysia,2024,0,1,0,0,1,2,3.6999999999999997,3.6999999999999997,63.79310344827585
Philippines,2018,0,0,0,0,0,0,0.0,0.0,0.1
Philippines,2019,0,0,0,0,0,0,0.0,0.0,0.1
Philippines,2020,0,0,0,0,0,0,0.0,0.0,0.1
Philippines,2021,0,0,0,0,0,0,0.0,0.0,0.1
Philippines,2022,0,0,0,0,0,0,0.0,0.0,0.1
Philippines,2023,0,0,0,0,0,0,0.0,0.0,0.1
Philippines,2024,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2018,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2019,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2020,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2021,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2022,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2023,0,0,0,0,0,0,0.0,0.0,0.1
Thailand,2024,0,0,0,0,0,0,0.0,0.0,0.1
Indonesia,2018,0,0,0,0,0,2,1.4,1.4,24.137931034482754
Indonesia,2019,0,0,0,0,0,0,0.0,0.0,0.1
Indonesia,2020,0,0,0,0,0,0,0.0,0.0,0.1
Indonesia,2021,0,0,0,0,0,2,1.4,1.4,24.137931034482754
Indonesia,2022,0,0,0,0,0,2,1.4,1.4,24.137931034482754
Indonesia,2023,0,0,0,0,0,2,1.4,1.4,24.137931034482754
Indonesia,2024,0,0,0,0,0,2,1.4,1.4,24.137931034482754
Regional_Global_Reference,2018,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
Regional_Global_Reference,2019,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
Regional_Global_Reference,2020,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
Regional_Global_Reference,2021,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
Regional_Global_Reference,2022,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
Regional_Global_Reference,2023,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
Regional_Global_Reference,2024,0,1,1,0,2,2,5.800000000000001,5.800000000000001,100.0
